Cód. Cota,Categoria,Crédito,Entrada,Nº Parcelas,Vlr Parcela,Saldo devedor,Fundo comum,Ref. garantia,Administradora,Status
532,Imóvel,"R$100.000,00","R$42.300,00",197,"R$592,00","R$116.624,00","R$0,00","R$0,00",Caixa,Disponível
575,Imóvel,"R$100.000,00","R$51.100,00",197,"R$627,51","R$123.619,47","R$0,00","R$0,00",Portobens,Disponível
347,Imóvel,"R$100.000,00","R$41.500,00",79,"R$1.221,66","R$96.511,14","R$0,00","R$0,00",Rodobens,Disponível
607,Imóvel,"R$100.000,00","R$46.650,00",194,"R$623,00","R$120.862,00","R$0,00","R$0,00",Portobens,Disponível
369,Imóvel,"R$100.000,00","R$46.500,00",79,"R$1.221,66","R$96.511,14","R$0,00","R$0,00",Rodobens,Disponível
140,Imóvel,"R$100.000,00","R$38.500,00",44,"R$2.300,00","R$101.200,00","R$0,00","R$0,00",Rodobens,Disponível
141,Imóvel,"R$100.000,00","R$38.500,00",180,"R$779,00","R$140.220,00","R$0,00","R$0,00",Bradesco,Disponível
194,Imóvel,"R$100.150,00","R$40.203,75",116,"R$891,00","R$103.356,00","R$0,00","R$0,00",HS Consórcios,Disponível
417,Imóvel,"R$100.400,00","R$76.110,00",174,"R$388,00","R$67.512,00","R$0,00","R$0,00",Bradesco,Disponível
391,Imóvel,"R$100.600,00","R$55.515,00",142,"R$643,00","R$91.306,00","R$0,00","R$0,00",Portobens,Disponível
598,Imóvel,"R$100.747,00","R$46.046,18",197,"R$627,51","R$123.619,47","R$0,00","R$0,00",Portobens,Disponível
600,Imóvel,"R$100.747,00","R$46.546,68",197,"R$628,00","R$123.716,00","R$0,00","R$0,00",Portobens,Disponível
165,Imóvel,"R$101.000,00","R$39.625,00",69,"R$1.532,00","R$105.708,00","R$0,00","R$0,00",Rodobens,Disponível
538,Imóvel,"R$101.100,00","R$43.127,50",210,"R$601,85","R$126.388,50","R$0,00","R$0,00",Rodobens,Disponível
576,Imóvel,"R$101.200,00","R$47.530,00",206,"R$644,02","R$132.668,12","R$0,00","R$0,00",Rodobens,Disponível
363,Imóvel,"R$101.500,00","R$49.737,50",67,"R$1.192,00","R$79.864,00","R$0,00","R$0,00",Portobens,Disponível
613,Imóvel,"R$102.000,00","R$37.990,00",170,"R$786,13","R$133.642,10","R$0,00","R$0,00",Rodobens,Disponível
400,Imóvel,"R$102.222,00","R$45.847,55",66,"R$1.192,00","R$78.672,00","R$0,00","R$0,00",Porto Seguro,Disponível
419,Imóvel,"R$104.500,00","R$54.700,51",117,"R$820,51","R$95.999,67","R$0,00","R$0,00",Porto Seguro,Disponível
209,Imóvel,"R$105.959,00","R$42.398,97",165,"R$744,00","R$122.760,00","R$0,00","R$0,00",Bradesco,Disponível
385,Imóvel,"R$106.000,00","R$52.128,00",55,"R$1.578,00","R$86.790,00","R$0,00","R$0,00",BB Consórcios,Disponível
529,Imóvel,"R$108.000,00","R$45.500,00",181,"R$649,00","R$117.469,00","R$0,00","R$0,00",Caixa,Disponível
18,Imóvel,"R$108.000,00","R$24.500,00",96,"R$1.623,00","R$155.808,00","R$0,00","R$0,00",CNP Consórcio,Disponível
29,Imóvel,"R$108.000,00","R$26.500,00",96,"R$1.570,00","R$150.720,00","R$0,00","R$0,00",CNP Consórcio,Disponível
82,Imóvel,"R$108.000,00","R$40.100,00",51,"R$2.045,00","R$104.295,00","R$0,00","R$0,00",Rodobens,Disponível
591,Imóvel,"R$108.400,00","R$58.810,00",183,"R$671,00","R$122.793,00","R$0,00","R$0,00",Portobens,Disponível
530,Imóvel,"R$108.500,00","R$45.712,50",197,"R$646,55","R$127.370,35","R$0,00","R$0,00",Rodobens,Disponível
17,Imóvel,"R$109.000,00","R$24.725,00",96,"R$1.623,00","R$155.808,00","R$0,00","R$0,00",CNP Consórcio,Disponível
99,Imóvel,"R$109.000,00","R$40.225,00",45,"R$2.429,00","R$109.305,00","R$0,00","R$0,00",Rodobens,Disponível
187,Imóvel,"R$109.450,00","R$44.286,25",110,"R$946,00","R$104.060,00","R$0,00","R$0,00",HS Consórcios,Disponível
83,Imóvel,"R$110.000,00","R$40.250,00",47,"R$2.249,00","R$105.703,00","R$0,00","R$0,00",Rodobens,Disponível
566,Imóvel,"R$110.700,00","R$55.367,50",183,"R$668,00","R$122.244,00","R$0,00","R$0,00",Portobens,Disponível
12,Imóvel,"R$111.000,00","R$23.575,00",93,"R$1.697,00","R$157.821,00","R$0,00","R$0,00",CNP Consórcio,Disponível
80,Imóvel,"R$111.000,00","R$39.175,00",147,"R$882,00","R$129.654,00","R$0,00","R$0,00",Magalu,Disponível
227,Imóvel,"R$111.000,00","R$43.175,00",75,"R$1.810,00","R$135.750,00","R$0,00","R$0,00",Portobens,Disponível
418,Imóvel,"R$111.300,00","R$57.785,03",117,"R$861,03","R$100.740,51","R$0,00","R$0,00",Porto Seguro,Disponível
